source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
bleach,webencodings,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
comm,pytest,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
comm,traitlets,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,pydata-sphinx-theme,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,mypy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,pytest-mypy-testing,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,myst-parser,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,sphinx,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,argcomplete,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,pre-commit,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,pytest-mock,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
traitlets,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,scikit-umfpack,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,sphinx-panels,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,matplotlib,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,sphinx-tabs,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,mypy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,pytest-cov,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,gmpy2,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,sphinx,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,numpydoc,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,pycodestyle,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,numpy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,pytest-xdist,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,asv,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,mpmath,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,threadpoolctl,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,pydata-sphinx-theme,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,typing_extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
scipy,flake8,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
geopandas,fiona,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
geopandas,packaging,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
geopandas,pandas,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
geopandas,pyproj,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
geopandas,shapely,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,cryptography,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,pyopenssl,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,pyu2f,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,cachetools,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,pyasn1-modules,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,rsa,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,aiohttp,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
google-auth,requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlparse,flake8,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlparse,build,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlparse,sphinx,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlparse,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlparse,pytest-cov,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
pytest-mypy-plugins,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,mypy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,decorator,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,pyyaml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,jinja2,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,regex,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pytest-mypy-plugins,tomlkit,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
aiosignal,frozenlist,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
argon2-cffi-bindings,pytest,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
argon2-cffi-bindings,cogapp,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
argon2-cffi-bindings,pre-commit,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
argon2-cffi-bindings,wheel,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
argon2-cffi-bindings,cffi,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
onnxruntime-tools,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
onnxruntime-tools,onnx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
onnxruntime-tools,numpy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
onnxruntime-tools,coloredlogs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
onnxruntime-tools,psutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
onnxruntime-tools,py-cpuinfo,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
onnxruntime-tools,py3nvml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,matplotlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,myst-nb,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,sphinx_thebe,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,pytest-cov,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,ablog,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,ipywidgets,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,numpy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx_book_theme,sphinx-copybutton,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
